date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:37	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202018%2010:24:01%20GMT	https://preview.ait-themes.club/robots.txt		(from )
15:30:38	107795/107795	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2008:18:41%20GMT	https://preview.ait-themes.club/theme/sushi/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/index.html	(from )
15:30:39	225/225	---M--	403	error ('Forbidden')	text/html	date:Sat,%2013%20Jan%202018%2010:24:02%20GMT	https://preview.ait-themes.club/theme/sushi/xmlrpc.php	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/xmlrpc.php	(from https://preview.ait-themes.club/theme/sushi/)
15:30:39	547/547	---M--	200	added ('OK')	image/png	etag:%22223-514ecc970bf00%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/favicon.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/favicon.png	(from https://preview.ait-themes.club/theme/sushi/)
15:30:41	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/food/www.google-analytics.com/analytics.js	(from https://preview.ait-themes.club/theme/sushi/)
15:30:42	29629/29629	---M-Z	200	added ('OK')	text/css	etag:%2273bd-54710be0b1740-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.3.1.5	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/css/settings4ee1.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:42	30773/30773	---M-Z	200	added ('OK')	application/rss+xml	etag:%2202138cd805270afe2d243ba575fc9ea2%22	https://preview.ait-themes.club/theme/sushi/feed/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/feed/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:30:44	8408/8408	---M-Z	200	added ('OK')	application/rss+xml	etag:%226dd4660a1f3c83906054a82a90d393cb%22	https://preview.ait-themes.club/theme/sushi/comments/feed/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/comments/feed/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:30:44	2027/2027	---M-Z	200	added ('OK')	text/css	etag:%227eb-514ecc8304fc0-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/colorbox/colorbox.min.css?ver=1.4.27	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/colorbox/colorbox.min300b.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:44	2841/2841	---M-Z	200	added ('OK')	text/css	etag:%22b19-54710bcf86ec0-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/ait/element-placeholder.css?ver=1.95	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/ait/element-placeholder79d6.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:45	2076/2076	---M-Z	200	added ('OK')	text/css	etag:%2281c-514ecc970bf00-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/css/libs/jquery.selectbox.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/css/libs/jquery.selectboxe049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:45	37480/37480	---M-Z	200	added ('OK')	text/css	etag:%229268-55c60a2079806-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/design/css/libs/font-awesome.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/design/css/libs/font-awesomee049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:46	33172/33172	---M-Z	200	added ('OK')	text/css	etag:%228194-514ecc8304fc0-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/jquery-ui-css/jquery-ui.css?ver=1.8.24	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/assets/jquery-ui-css/jquery-ui2b8c.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:47	949/949	---M-Z	200	added ('OK')	text/css	etag:%223b5-514ecc98f4380-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/ait-theme/elements/services/design/css/base-style.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/ait-theme/elements/services/design/css/base-stylee049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:47	3841/3841	---M-Z	200	added ('OK')	text/css	etag:%22f01-514ecc8210d80-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/portfolio/design/css/base-style.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/portfolio/design/css/base-stylee049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:48	552/552	---M-Z	200	added ('OK')	text/css	etag:%22228-514ecc811cb40-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/testimonials/design/css/base-style.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/testimonials/design/css/base-stylee049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:48	323/323	---M-Z	200	added ('OK')	text/css	etag:%22143-514ecc8210d80-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/partners/design/css/base-style.css?ver=4.7.8	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/skeleton/ait-theme/elements/partners/design/css/base-stylee049.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:49	53/53	---M--	200	added ('OK')	text/css	etag:%2235-54c8139cce4d7%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/base-1.95.css?ver=1491492787	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/base-1.954138.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:51	338807/338807	---M-Z	200	added ('OK')	text/css	etag:%2252b77-54c8139d3da1a-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/style-1.95.css?ver=1491492788	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/style-1.95bb2e.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:52	129079/129079	---M-Z	200	added ('OK')	text/css	etag:%221f837-54c8139d560ba-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/preloading-1.95.css?ver=1491492788	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/preloading-1.95bb2e.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:53	26962/26962	---M-Z	200	added ('OK')	text/css	etag:%226952-54c8139d5fcfb-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/typography-1.95-en_US.css?ver=1491492788	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/cache/sushi/typography-1.95-en_USbb2e.css	(from https://preview.ait-themes.club/theme/sushi/)
15:30:54	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-535f1de81eb00-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://preview.ait-themes.club/theme/sushi/)
15:30:54	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-535f1de81eb00-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-includes/js/jquery/jqueryb8ff.js	(from https://preview.ait-themes.club/theme/sushi/)
15:30:57	107526/107526	---M-Z	200	added ('OK')	application/javascript	etag:%221a406-54710be1a5980-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.3.1.5	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min4ee1.js	(from https://preview.ait-themes.club/theme/sushi/)
15:30:57	601839/601839	---M--	200	added ('OK')	image/png	etag:%2292eef-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/background.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/background.png	(from https://preview.ait-themes.club/theme/sushi/)
15:30:59	225/225	---M--	403	error ('Forbidden')	text/html	date:Sat,%2013%20Jan%202018%2010:24:22%20GMT	https://preview.ait-themes.club/theme/sushi/xmlrpc.php?rsd	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/xmlrpc0db0.php	(from https://preview.ait-themes.club/theme/sushi/)
15:30:59	62397/62397	---M-Z	200	added ('OK')	application/javascript	etag:%22f3bd-54710be1a5980-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.3.1.5	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min4ee1.js	(from https://preview.ait-themes.club/theme/sushi/)
15:30:59	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5024d49f3b900-gzip%22	https://preview.ait-themes.club/theme/sushi/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-includes/wlwmanifest.xml	(from https://preview.ait-themes.club/theme/sushi/)
15:31:00	2259/2259	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:23%20GMT	https://preview.ait-themes.club/theme/sushi/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpreview.ait-themes.club%2Ftheme%2Fsushi%2F	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-json/oembed/1.0/embed2e64.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:01	178555/178555	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:24%20GMT	https://preview.ait-themes.club/theme/sushi/wp-json/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-json/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:02	2501/2501	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:24%20GMT	https://preview.ait-themes.club/theme/sushi/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpreview.ait-themes.club%2Ftheme%2Fsushi%2F&format=xml	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-json/oembed/1.0/embedfe5c.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:02	2901/2901	---M--	200	added ('OK')	image/png	etag:%22b55-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_facebook.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_facebook.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:03	2919/2919	---M--	200	added ('OK')	image/png	etag:%22b67-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_facebook_dark.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_facebook_dark.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:04	3067/3067	---M--	200	added ('OK')	image/png	etag:%22bfb-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_twitter.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_twitter.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:04	1185/1185	---M--	200	added ('OK')	image/png	etag:%224a1-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_twitter_dark.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_twitter_dark.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:05	3066/3066	---M--	200	added ('OK')	image/png	etag:%22bfa-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_googleplus.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_googleplus.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:05	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_googleplus_dark.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_googleplus_dark.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:06	2956/2956	---M--	200	added ('OK')	image/png	etag:%22b8c-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_linkedin.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_linkedin.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:07	1080/1080	---M--	200	added ('OK')	image/png	etag:%22438-514ecc9617cc0%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_linkedin_dark.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/ico/ico_linkedin_dark.png	(from https://preview.ait-themes.club/theme/sushi/)
